artist,song,song_name_len,duration_ms,explicit,year,popularity,hot,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,pop,rock,hiphop,dance,folk,rnb,latin
Avril Lavigne,When You're Gone,16,240493,FALSE,2007,68,0,0.457,0.719,4,-3.921,0,0.0323,0.191,0,0.228,0.168,142.034,pop,1,0,0,0,0,0,0
Rich Boy,Throw Some D's,14,263920,TRUE,2007,57,0,0.697,0.86,11,-5.181,1,0.43,0.0368,0,0.0721,0.433,160.895,"hip hop, pop",1,0,1,0,0,0,0
MIKA,Love Today,10,235173,FALSE,2006,57,0,0.673,0.913,4,-4.981,1,0.0664,0.0304,0.00298,0.113,0.587,124.484,pop,1,0,0,0,0,0,0
Manic Street Preachers,Your Love Alone Is Not Enough (feat. Nina Persson),50,235693,FALSE,2007,53,0,0.344,0.921,2,-3.049,1,0.0459,0.00143,1.13E-05,0.38,0.396,126.766,"rock, pop",1,1,0,0,0,0,0
Elliott Yamin,Wait for You,12,261320,FALSE,2007,58,0,0.764,0.487,0,-6.734,1,0.0281,0.25,0,0.184,0.352,116.027,set(),0,0,0,0,0,0,0
Wyclef Jean,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",59,241133,FALSE,2007,56,0,0.733,0.744,1,-3.51,1,0.0553,0.0772,0,0.341,0.529,92.515,set(),0,0,0,0,0,0,0
Boys Like Girls,The Great Escape,16,206520,FALSE,2007,62,0,0.423,0.94,1,-4.012,0,0.0635,0.00166,0,0.178,0.505,149.934,pop,1,0,0,0,0,0,0
Take That,Rule The World - Radio Edit,27,237760,FALSE,2007,58,0,0.357,0.774,2,-4.226,1,0.034,0.0376,0,0.348,0.348,164.054,pop,1,0,0,0,0,0,0
J. Holiday,Bed,3,275106,FALSE,2007,64,0,0.684,0.606,5,-7.268,0,0.0504,0.17,0,0.058,0.723,127.901,"hip hop, pop, R&B, Dance/Electronic",1,0,1,1,0,1,0
Red Hot Chili Peppers,Snow (Hey Oh),13,334666,FALSE,2006,79,1,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75E-05,0.119,0.599,104.655,rock,0,1,0,0,0,0,0
Ludacris,Runaway Love,12,280680,TRUE,2006,51,0,0.405,0.721,1,-6.97,1,0.283,0.329,0,0.252,0.815,92.854,"hip hop, pop",1,0,1,0,0,0,0
Flo Rida,Low (feat. T-Pain),18,231400,FALSE,2008,80,1,0.918,0.609,10,-5.64,0,0.0791,0.0928,0,0.139,0.304,128.008,"hip hop, pop",1,0,1,0,0,0,0
Katy Perry,I Kissed A Girl,15,179640,FALSE,2008,73,0,0.699,0.76,5,-3.173,1,0.0677,0.00223,0,0.132,0.696,129.996,pop,1,0,0,0,0,0,0
Rihanna,Take A Bow,10,229413,FALSE,2008,74,0,0.697,0.467,9,-7.536,1,0.0715,0.248,0,0.0941,0.572,82.082,"hip hop, pop, R&B",1,0,1,0,0,1,0
Alicia Keys,No One,6,253813,FALSE,2007,77,1,0.644,0.549,1,-5.415,0,0.0285,0.0209,8.85E-06,0.134,0.167,90.04,"pop, R&B",1,0,0,0,0,1,0
Timbaland,Apologize,9,184400,FALSE,2007,74,0,0.653,0.604,8,-6.017,1,0.0278,0.0292,0,0.097,0.101,118.016,"hip hop, pop, R&B",1,0,1,0,0,1,0
Ne-Yo,Miss Independent,16,232000,FALSE,2008,71,0,0.668,0.673,1,-5.714,1,0.145,0.48,0,0.194,0.727,171.812,"pop, R&B",1,0,0,0,0,1,0
Chris Brown,With You,8,252120,FALSE,2007,70,0,0.662,0.693,3,-4.298,1,0.0698,0.134,0,0.145,0.655,86.009,"hip hop, pop, R&B",1,0,1,0,0,1,0
Beyonc??,If I Were a Boy,15,249146,FALSE,2008,66,0,0.632,0.518,6,-6.126,1,0.0313,0.107,0,0.354,0.427,90.007,"pop, R&B",1,0,0,0,0,1,0
Kardinal Offishall,Dangerous,9,246053,TRUE,2008,75,0,0.949,0.79,8,-5.957,1,0.0756,0.00437,0,0.0816,0.807,117.002,"hip hop, pop, R&B",1,0,1,0,0,1,0
Madcon,Beggin (original version),25,216146,FALSE,2007,70,0,0.715,0.8,4,-5.144,0,0.057,0.0271,0,0.0648,0.445,129.023,"hip hop, pop",1,0,1,0,0,0,0
September,Cry for You,11,209800,FALSE,2007,65,0,0.767,0.881,9,-3.988,1,0.0301,0.00133,0.000139,0.0551,0.961,130.018,"pop, Dance/Electronic",1,0,0,1,0,0,0
Rihanna,Disturbia,9,238626,FALSE,2008,76,1,0.707,0.813,11,-4.515,0,0.0571,0.0863,0,0.168,0.722,124.921,"hip hop, pop, R&B",1,0,1,0,0,1,0
Guru Josh Project,Infinity 2008,13,190013,FALSE,2011,1,0,0.493,0.849,7,-6.139,0,0.0576,0.000337,0.00672,0.355,0.483,127.999,hip hop,0,0,1,0,0,0,0
Britney Spears,Break the Ice,13,196053,FALSE,2007,61,0,0.712,0.911,5,-3.866,0,0.0445,0.689,8.02E-06,0.107,0.85,117.533,pop,1,0,0,0,0,0,0
Lil Wayne,Lollipop,8,299333,TRUE,2008,69,0,0.829,0.428,0,-9.469,1,0.0831,0.056,0.00413,0.137,0.45,148.075,"hip hop, pop",1,0,1,0,0,0,0
Basshunter,Now You're Gone - Video Edit,28,148186,FALSE,2008,63,0,0.639,0.976,1,-5.503,1,0.354,0.0213,0,0.0856,0.354,147.99,pop,1,0,0,0,0,0,0
Kanye West,Flashing Lights,15,237506,TRUE,2007,52,0,0.639,0.628,6,-7.578,0,0.0399,0.0381,0,0.386,0.43,90.482,hip hop,0,0,1,0,0,0,0
